Date,Open,High,Low,Close,Adj Close,Volume
2016-12-29,75700.000000,77000.000000,75300.000000,77000.000000,76909.554688,201605
2017-01-02,77400.000000,77600.000000,76600.000000,76700.000000,76609.906250,143140
2017-01-03,77200.000000,80000.000000,77000.000000,80000.000000,79906.031250,445180
2017-01-04,80400.000000,85100.000000,80300.000000,84300.000000,84200.976563,1224395
2017-01-05,85000.000000,86000.000000,84000.000000,84000.000000,83901.328125,611713
2017-01-06,84400.000000,84500.000000,82200.000000,83700.000000,83601.679688,410880
2017-01-09,84200.000000,84500.000000,82500.000000,82800.000000,82702.742188,236036
2017-01-10,82600.000000,83500.000000,81500.000000,82000.000000,81903.679688,329302
2017-01-11,82000.000000,83700.000000,81600.000000,83200.000000,83102.273438,270488
2017-01-12,83500.000000,83700.000000,81900.000000,81900.000000,81803.796875,251638
2017-01-13,81900.000000,84400.000000,81600.000000,83900.000000,83801.445313,480932
2017-01-16,84400.000000,84500.000000,82400.000000,82600.000000,82502.976563,204539
2017-01-17,82600.000000,83400.000000,81400.000000,81900.000000,81803.796875,229108
2017-01-18,82200.000000,82600.000000,80300.000000,81100.000000,81004.734375,185724
2017-01-19,80700.000000,82300.000000,80500.000000,82300.000000,82203.328125,246388
2017-01-20,81800.000000,82200.000000,80300.000000,80400.000000,80305.562500,285281
2017-01-23,80000.000000,80300.000000,78400.000000,79000.000000,78907.203125,338781
2017-01-24,79500.000000,79700.000000,78800.000000,78800.000000,78707.437500,179068
2017-01-25,78300.000000,79200.000000,76100.000000,76100.000000,76010.609375,557017
2017-01-26,76200.000000,77700.000000,76200.000000,77100.000000,77009.437500,316390
2017-01-31,77200.000000,79300.000000,76900.000000,77700.000000,77608.734375,260779
2017-02-01,78200.000000,78900.000000,78000.000000,78400.000000,78307.906250,197510
2017-02-02,79100.000000,80000.000000,77600.000000,77700.000000,77608.734375,285670
2017-02-03,78000.000000,78500.000000,77500.000000,78000.000000,77908.382813,178240
2017-02-06,78100.000000,78500.000000,77000.000000,77300.000000,77209.203125,169147
2017-02-07,77000.000000,79100.000000,77000.000000,78300.000000,78208.023438,173244
2017-02-08,78800.000000,79800.000000,77800.000000,79800.000000,79706.265625,269292
2017-02-09,81700.000000,85700.000000,81300.000000,85400.000000,85299.687500,1550608
2017-02-10,85300.000000,86300.000000,84100.000000,85100.000000,85000.039063,792741
2017-02-13,85400.000000,85500.000000,83700.000000,84100.000000,84001.210938,397630
2017-02-14,84000.000000,85300.000000,83000.000000,84900.000000,84800.273438,427851
2017-02-15,85100.000000,85600.000000,84100.000000,84900.000000,84800.273438,321230
2017-02-16,84600.000000,84800.000000,82200.000000,82400.000000,82303.210938,569723
2017-02-17,82400.000000,85300.000000,82400.000000,84700.000000,84600.507813,563691
2017-02-20,84400.000000,85300.000000,83600.000000,84800.000000,84700.390625,294768
2017-02-21,85700.000000,89100.000000,85700.000000,88400.000000,88296.164063,1573781
2017-02-22,88600.000000,90200.000000,88200.000000,89500.000000,89394.867188,1034489
2017-02-23,89100.000000,89500.000000,87600.000000,87900.000000,87796.750000,507957
2017-02-24,88500.000000,89600.000000,87600.000000,88100.000000,87996.515625,369669
2017-02-27,87500.000000,87900.000000,85700.000000,85800.000000,85699.218750,330736
2017-02-28,86500.000000,86800.000000,84900.000000,85400.000000,85299.687500,444304
2017-03-02,86000.000000,86100.000000,84500.000000,85300.000000,85199.804688,354383
2017-03-03,85000.000000,86500.000000,84400.000000,85800.000000,85699.218750,396672
2017-03-06,85000.000000,85700.000000,83600.000000,83800.000000,83701.562500,382382
2017-03-07,83600.000000,84300.000000,82600.000000,83700.000000,83601.679688,277748
2017-03-08,84200.000000,84300.000000,82700.000000,83000.000000,82902.507813,286714
2017-03-09,83500.000000,84900.000000,82800.000000,82800.000000,82702.742188,350630
2017-03-10,83500.000000,85800.000000,81600.000000,85300.000000,85199.804688,501305
2017-03-13,85400.000000,85500.000000,84000.000000,84800.000000,84700.390625,341028
2017-03-14,84600.000000,84800.000000,82600.000000,83500.000000,83401.921875,625453
2017-03-15,83600.000000,83800.000000,82000.000000,82200.000000,82103.445313,317640
2017-03-16,82900.000000,83800.000000,81500.000000,83800.000000,83701.562500,469582
2017-03-17,83800.000000,84100.000000,83200.000000,84000.000000,83901.328125,221183
2017-03-20,84700.000000,85200.000000,82500.000000,84900.000000,84800.273438,506090
2017-03-21,85000.000000,86200.000000,84300.000000,86100.000000,85998.867188,515560
2017-03-22,85500.000000,86700.000000,84700.000000,86600.000000,86498.273438,476268
2017-03-23,86700.000000,86700.000000,85400.000000,85900.000000,85799.101563,310710
2017-03-24,86200.000000,86200.000000,83100.000000,84100.000000,84001.210938,537901
2017-03-27,83400.000000,84200.000000,82800.000000,82900.000000,82802.625000,319059
2017-03-28,83300.000000,84000.000000,82400.000000,83200.000000,83102.273438,346230
2017-03-29,84000.000000,84100.000000,82900.000000,83800.000000,83701.562500,245176
2017-03-30,84100.000000,84100.000000,82700.000000,82800.000000,82702.742188,230451
2017-03-31,83500.000000,83700.000000,82700.000000,83100.000000,83002.390625,179689
2017-04-03,83500.000000,87000.000000,83400.000000,87000.000000,86897.804688,862856
2017-04-04,87500.000000,87600.000000,85700.000000,85700.000000,85599.335938,1954434
2017-04-05,86800.000000,88700.000000,85600.000000,85900.000000,85799.101563,1526823
2017-04-06,84500.000000,85000.000000,83300.000000,84500.000000,84400.742188,3843443
2017-04-07,85300.000000,87100.000000,84900.000000,86600.000000,86498.273438,1424420
2017-04-10,87100.000000,87100.000000,84200.000000,84900.000000,84800.273438,819880
2017-04-11,84700.000000,86200.000000,84100.000000,85700.000000,85599.335938,750110
2017-04-12,85700.000000,86200.000000,85100.000000,85900.000000,85799.101563,465429
2017-04-13,85700.000000,88500.000000,85600.000000,88000.000000,87896.632813,1362238
2017-04-14,87800.000000,90200.000000,87500.000000,88800.000000,88695.695313,1146797
2017-04-17,90000.000000,90300.000000,88400.000000,89100.000000,88995.343750,747833
2017-04-18,89100.000000,89800.000000,88000.000000,88200.000000,88096.398438,539494
2017-04-19,87000.000000,88600.000000,86500.000000,87200.000000,87097.570313,686885
2017-04-20,88900.000000,91100.000000,88200.000000,90800.000000,90693.343750,1559946
2017-04-21,91700.000000,91900.000000,89600.000000,90000.000000,89894.281250,860895
2017-04-24,90600.000000,91500.000000,89300.000000,90200.000000,90094.046875,609794
